pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Pathogenic Variants in the Longitudinal Early-Onset Alzheimer’s Disease Study Cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10783439/	XML	PPMI	www.ppmi-info.org	Whole genome sequencing data from healthy controls (HC) in the Parkinson's Progression Markers Initiative (PPMI) (N=195) were obtained from the Laboratory for Neuroimaging (LONI), for use in statistical analyses. The PPMI data were selected for comparison because these controls, while older than LEADS, were more closely matched in age to LEADS cases than those available in other late onset Alzheimer's disease data sets with sequencing available. Data for PPMI participants are available from LONI to approved investigators.	healthy controls, whole genome sequencing, cognitively normal	Secondary		
Amyloid and tau-PET in early-onset AD: Baseline data from the Longitudinal Early-onset Alzheimer’s Disease Study (LEADS)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10807231/	XML	LEADS	www.nia.nih.gov	The Longitudinal Early-onset Alzheimer's Disease Study (LEADS) is an ongoing multi-center, longitudinal investigation of patients with a clinical diagnosis of sporadic EOAD at the mild cognitive impairment (MCI) or mild dementia stage. LEADS recruits participants aged 40-64 years who meet 2011 NIA-AA criteria for MCI due to AD or mild dementia due to AD. The study was launched in 2018 and enrolled 429 participants at 19 sites in the United States between May 2018 and May 2022. Baseline PET data from 408 participants (243 EOAD, 78 EOnonAD, 87 cognitively normal) are analyzed in this paper. Participants underwent [18F]Florbetaben (amyloid-PET) and [18F]Flortaucipir (tau-PET) imaging. The study includes clinical, neuropsychological, genetic, biofluid, and MRI data collected alongside PET imaging.	early-onset Alzheimer's disease, amyloid-PET, tau-PET, biomarkers	Primary		
Influence of amyloid and diagnostic syndrome on non-traditional memory scores in early-onset Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855009/	XML	LEADS	longitudinal early-onset alzheimer's disease study	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) enrolled 91 participants with normal cognition and 314 participants with cognitive impairment. At the time of analysis, 303 subjects with either normal cognition (N=89) or cognitive impairment (N=214) who had been audio recorded while undergoing the RAVLT at baseline evaluation were selected. Subjects were categorized by amyloid status and diagnostic syndrome (amnestic, non-amnestic, posterior cortical atrophy, logopenic primary progressive aphasia). All cognitively impaired subjects underwent amyloid positron emission tomography scans. The study obtained 2315 RAVLT task recordings (average of 7.64 per subject) from participants with age below 65 years.	early-onset Alzheimer's disease, neuropsychological testing, amyloid biomarkers	Primary		
Sex and	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10811272/	XML	LEADS	ida.loni.usc.edu	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) is an ongoing longitudinal multi-site study with baseline data from 230 EOAD, 70 EOnonAD, and 77 CN participants. The study collects baseline and longitudinal clinical, cognitive, genetic, and neuroimaging and fluid biomarker data including T1 structural MRI, Florbetaben PET (FBB PET; amyloid), and Flortaucipir PET (FTP PET; tau) data. Participants are between 40-64 years old at consent. The study examines sex and APOE-ε4 carrier effects on atrophy, amyloid PET, and tau PET burden in early-onset dementia populations.	early-onset Alzheimer's disease, neuroimaging biomarkers, amyloid PET, tau PET	Primary		
Cerebrospinal fluid biomarkers in the Longitudinal Early-onset Alzheimer’s Disease Study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10877673/	XML	NCT03507257	clinicaltrials.gov	The LEADS design (NCT03507257) was published previously. LEADS participants must be age 40 to 64 years at the time of consent. EOAD and EOnonAD participants must meet National Institute of Aging-Alzheimer's Association (NIA-AA) criteria for dementia or mild cognitive impairment (MCI) and have a global Clinical Dementia Rating (CDR) score ≤1 indicative of very mild or mild dementia. The study includes 165 participants with cerebrospinal fluid (CSF) samples analyzed for biomarkers including Aβ40, Aβ42, tTau, pTau181, VILIP-1, SNAP-25, neurogranin, NfL, and YKL-40.	early-onset Alzheimer's disease, cerebrospinal fluid biomarkers, cognitive assessment	Primary		
White matter hyperintensities are higher among early-onset Alzheimer’s disease participants than their cognitively normal and early-onset nonAD peers: LEADS Study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10808262/	XML	LEADS	www.alz.org	The Longitudinal Early-onset Alzheimer's Disease study (LEADS) aims to inform characteristic biomarkers of EOAD. The study analyzed data from 362 participants (205 EOAD, 68 EOnonAD, and 89 CN participants) accrued since 2018. Participants were eligible if aged 40-64 years with a reliable study partner, English speaking, and no known psychiatric disorders or other neurological issues. The study included MRI acquisition using 3 Tesla scanners with 3D MPRAGE and FLAIR sequences, PET imaging for β-amyloid (18F-Florbetaben) and tau (18F-Flortaucipir), and cognitive assessments using CDR, MoCA, and MMSE. White matter hyperintensities were segmented and analyzed in relation to cognitive performance and amyloid and tau burden.	early-onset Alzheimer's disease, white matter hyperintensities, neuroimaging biomarkers	Primary		
Developments in understanding early onset Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10756918/	XML	LEADS	www.nia.nih.gov	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) was established as a prospective, longitudinal multi-site observational clinical and biomarker study of EOAD. Funded by the National Institute on Aging, LEADS seeks to define EOAD and its variants, to understand its progression, to find clinical outcome measures and surrogate biomarkers that can be of use in clinical trials for EOAD, to understand the impact of EOAD on people living with dementia and families, and to find resources to assist them. LEADS was designed to enroll and follow 500 people with EOAD from >15 sites in the United States. Approximately 75% of people enrolled in LEADS with early-onset cognitive impairment or dementia have evidence of elevated brain amyloid, which confirms the AD diagnosis; the remaining 25% are negative for amyloid.	early-onset Alzheimer's disease, biomarkers, clinical outcomes	Primary		
Baseline neuropsychiatric symptoms and psychotropic medication use midway through data collection of the Longitudinal Early- Onset Alzheimer’s Disease Study (LEADS) Cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10709525/	XML	LEADS	www.nia.nih.gov	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS) is the largest prospective observational study of EOAD in the U.S. This paper examines baseline neuropsychiatric symptoms (NPS) and psychotropic medication use from 282 participants enrolled in LEADS (212 amyloid-positive EOAD and 70 amyloid-negative early-onset non-Alzheimer's disease participants) at the midway point of data collection. Baseline assessment included standardized clinical evaluation, cognitive, functional, and neuropsychiatric assessments, genetic testing, fluid biomarkers, and brain imaging. Participants were assessed using the Neuropsychiatric Inventory-Questionnaire (NPI-Q) and Geriatric Depression Scale-Short Form (GDS-SF) to measure neuropsychiatric symptoms, and psychotropic medications were categorized and analyzed.	early-onset Alzheimer's disease, neuropsychiatric symptoms, psychotropic medications	Primary		
Profiling baseline performance on the Longitudinal Early-Onset Alzheimer’s Disease Study (LEADS) cohort near the midpoint of data collection	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10806768/	XML	LEADS	unknown_publisher	The Longitudinal Early-Onset Alzheimer's Disease Study (LEADS, National Institute on Aging (NIA) R56057195, NIA U016057195) aims to address gaps in knowledge with the largest prospectively-evaluated cohort of participants with sporadic EOAD in the United States. LEADS is an observational study seeking to recruit and follow 600 cognitively impaired and 100 cognitively unimpaired individuals 40 to 64 years of age at 18 U.S. sites. LEADS was designed to provide comprehensive understanding of clinical/physiologic manifestations of EOAD, including clinical, cognitive, fluid and imaging biomarker (blood, cerebrospinal fluid, MRI, FDG-PET, amyloid beta [Aβ]-PET, tau-PET), and genetic analyses at 12-month intervals. To date, 212 EOAD, 70 EOnonAD, and 89 CN participants have been enrolled in LEADS and had their data finalized as of 06/01/2022.	early-onset Alzheimer's disease, cognitive assessment, biomarkers	Primary		
Learning slopes in early-onset Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10806757/	XML	LEADS	leads-study.medicine.iu.edu	Participant data were obtained from the multi-center Longitudinal Early-Onset AD Study (LEADS). The LEADS was launched in 2018. As of July 2021, finalized baseline cognitive data were available for 310 LEADS participants, including 166 participants classified as EOAD, 62 participants classified as EOnonAD, and 82 participants classified as being cognitively normal (CN). Inclusion criteria for the LEADS involved being within the age range of 40 to 64 at the time of consent; fluent in English; and having a knowledgeable informant. The study included extensive clinical and neuropsychological battery at baseline visit with measures including RAVLT, Craft Story 21 Memory Test, Benson Delayed Recall Test, ADAS-Cog, Montreal Cognitive Assessment, Trail Making Test, and amyloid-PET imaging.	early-onset Alzheimer's disease, cognitive assessment, neuropsychological testing	Primary		
Association of Dementia Severity at Diagnosis With Health Care Utilization and Costs Around the Time of Incident Diagnosis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11911999/	XML	ADAMS	hrsdata.isr.umich.edu	The ADAMS is a nationally representative study of dementia with a subsample of HRS respondents aged 70 years and older. Because the ADAMS features detailed in-person clinical assessment of dementia, including a clinician-rated measure of dementia severity using the Clinical Dementia Rating scale, the authors used data from the ADAMS to model dementia severity and apply model parameters to the longitudinal HRS. Data from 852 ADAMS respondents were used in Poisson regressions to model the CDR score based on variables including age, sex, race, education level, cognitive function, activities of daily living (ADLs), instrumental activities of daily living (IADLs), depression status, and whether a proxy responded for the participant.	dementia severity, clinical assessment, cognitive function	Secondary		
